frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.786312,1786977581.001778,2586,50000,0,2586,18,1754,0.006961,0.222315,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.347093,0.562030,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.446338,,0,1.000000,SAFE,1,current,50000,186.7979,0.43281630,-0.10878637,1.44533503,-0.01697930,1.57079637,0.43367830,0.43147108,-0.07608416,-0.08869559,-0.01113655,0.00000000,0.43205599
11,1.974674,1786977581.188605,2523,50000,0,2523,22,1724,0.008720,0.222842,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.296639,0.479136,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.442948,,0,1.000000,SAFE,1,current,50000,174.1723,0.51571006,-0.12339980,1.42827511,-0.01901506,1.57079637,0.51643997,0.44007628,-0.07758151,-0.09056975,-0.01080766,0.00000000,0.43937506
12,2.151775,1786977581.362801,2538,50000,0,2538,13,1687,0.005122,0.222916,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.249897,0.402772,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.440357,,0,1.000000,SAFE,1,current,50000,151.4236,0.59207475,-0.13686146,1.41256857,-0.02092977,1.57079637,0.59282303,0.43119440,-0.07601145,-0.08868721,-0.01081145,0.00000000,0.43129806
13,2.305960,1786977581.514258,2533,50000,0,2533,15,1689,0.005922,0.222283,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.208549,0.335140,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.446617,,0,1.000000,SAFE,1,current,50000,191.7005,0.65970582,-0.14878990,1.39863372,-0.02266841,1.57079637,0.66044313,0.43863626,-0.07736453,-0.09037756,-0.01127637,0.00000000,0.43856513
14,2.503239,1786977581.705992,2707,50000,0,2707,14,1790,0.005172,0.223010,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.155687,0.250134,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.424189,,0,1.000000,SAFE,1,current,50000,184.4552,0.74471241,-0.16377011,1.38114464,-0.02477753,1.57079637,0.74546432,0.43089381,-0.07593388,-0.08865118,-0.01069098,0.00000000,0.43096784
15,2.681384,1786977581.890466,2559,50000,0,2559,15,1719,0.005862,0.223144,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.111881,0.174888,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.453278,,0,1.000000,SAFE,1,current,50000,192.6390,0.81995833,-0.17762792,1.36499429,-0.02673626,1.57079637,0.82051951,0.42238725,-0.07778978,-0.09065880,-0.01099517,0.00000000,0.42131658
16,2.870502,1786977582.083137,2636,50000,0,2636,17,1776,0.006449,0.223535,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.071903,0.108302,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.444560,,0,1.000000,SAFE,1,current,50000,172.1904,0.88654405,-0.19223769,1.34793425,-0.02888572,1.57079637,0.88688517,0.35208572,-0.07725216,-0.09020849,-0.01136574,0.00000000,0.35092210
17,3.043833,1786977582.255345,2516,50000,0,2516,12,1717,0.004769,0.224490,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.042922,0.061131,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.441360,,0,1.000000,SAFE,1,current,50000,161.2019,0.93371487,-0.20568834,1.33216178,-0.03074541,1.57079637,0.93396431,0.27214192,-0.07760065,-0.09099584,-0.01072909,0.00000000,0.27161304
18,3.202204,1786977582.416568,2407,50000,0,2407,20,1611,0.008309,0.224631,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.023212,0.030698,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.460980,,0,1.000000,SAFE,1,current,50000,163.5611,0.96414852,-0.21762410,1.31830764,-0.03240703,1.57079637,0.96422184,0.19216688,-0.07536580,-0.08747908,-0.01049192,0.00000000,0.19105473
19,3.368307,1786977582.580147,2588,50000,0,2588,21,1722,0.008114,0.223275,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.007942,0.010058,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.459172,,0,1.000000,SAFE,1,current,50000,190.6163,0.98478848,-0.23004772,1.30413795,-0.03426672,1.57079637,0.98484349,0.12425981,-0.07479457,-0.08530655,-0.01119600,0.00000000,0.12414965
20,3.558476,1786977582.770797,2600,50000,0,2600,26,1712,0.010000,0.224271,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.000571,0.000789,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399753,0.433443,,0,1.000000,SAFE,1,current,50000,183.6314,0.99405766,-0.23844384,1.29540086,-0.03633915,1.57079637,0.99406499,0.04874196,-0.04415098,-0.04594396,-0.01089790,0.00000000,0.04849122
21,3.744503,1786977582.954449,2553,50000,0,2553,19,1642,0.007442,0.225694,1,0,0,,,,,,,,,,1.200,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000014,0.000029,1.040070,26,0.025522,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399982,0.456109,,0,1.000000,SAFE,1,current,50000,175.0933,0.99481690,-0.23922145,1.29465985,-0.03695538,1.57079637,0.99483520,0.00408136,-0.00418012,-0.00398331,-0.00331258,0.00000000,0.00414031
22,3.916131,1786977583.129559,2587,50000,0,2587,31,1685,0.011983,0.222496,1,0,0,,,,,,,,,,1.200,,reference_step_jump,RUNNING,1,5,5,1,0.170685,0.399973,0.000293,0.000521,1.206104,30,0.030933,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399221,0.449852,,0,1.000000,SAFE,1,current,50000,164.9092,0.99457848,-0.23873729,1.29517698,-0.03693704,1.57079637,0.99467385,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
23,4.079353,1786977583.294486,2600,50000,0,2600,36,1716,0.013846,0.223624,1,0,0,,,,,,,,,,1.200,,reference_step_jump,RUNNING,1,10,5,1,0.378524,0.398570,0.000577,0.001152,1.413500,35,0.034949,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.397232,0.441882,,0,1.000000,SAFE,1,current,50000,171.8718,0.99306357,-0.23632005,1.29846716,-0.03621444,1.57079637,0.99303794,-0.00928129,0.01480949,0.02015766,0.00442711,0.00000000,-0.01002259
24,4.249715,1786977583.466378,2563,50000,0,2563,30,1704,0.011705,0.225144,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,15,5,0,0.585013,0.395238,0.000197,0.000363,1.620678,40,0.036677,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.393737,0.437928,,0,1.000000,SAFE,1,current,50000,174.8393,0.99033451,-0.23208714,1.30388856,-0.03479858,1.57079256,0.99033821,-0.01601912,0.02484650,0.03182271,0.00831086,-0.00002239,-0.01584698
25,4.429585,1786977583.641235,2513,50000,0,2513,28,1656,0.011142,0.224615,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,20,5,0,0.792017,0.391138,0.000305,0.000583,1.828318,45,0.037348,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.390148,0.436264,,0,1.000000,SAFE,1,current,50000,176.7364,0.98700762,-0.22698492,1.31054235,-0.03325434,1.57079256,0.98698932,-0.01849615,0.02836622,0.03699230,0.00858534,0.00000000,-0.01861843
26,4.602982,1786977583.817991,2572,50000,0,2572,33,1755,0.012830,0.224380,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,24,4,0,0.957282,0.387835,0.000197,0.000554,1.994676,49,0.036695,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.387027,0.429546,,0,1.000000,SAFE,1,current,50000,188.1046,0.98383117,-0.22219448,1.31676340,-0.03191184,1.57079256,0.98383480,-0.01831890,0.02762693,0.03587743,0.00774231,0.00000000,-0.01819240
27,4.791771,1786977584.006126,2627,50000,0,2627,26,1770,0.009897,0.225031,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,28,4,0,1.122782,0.384437,0.000203,0.000348,2.160510,53,0.035360,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.383338,0.398417,,0,1.000000,SAFE,1,current,50000,178.3354,0.98028415,-0.21684648,1.32358229,-0.03043730,1.57079256,0.98025483,-0.01878832,0.02832803,0.03611927,0.00781058,0.00000000,-0.01896292
28,4.972655,1786977584.184482,2620,50000,0,2620,34,1850,0.012977,0.223264,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,33,5,0,1.330531,0.380324,0.000302,0.000543,2.368578,58,0.035939,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.379622,0.407057,,0,1.000000,SAFE,1,current,50000,176.2541,0.97684723,-0.21183230,1.32997561,-0.02899943,1.57079256,0.97685456,-0.01900067,0.02772037,0.03534476,0.00794911,0.00000000,-0.01879801
29,5.147348,1786977584.360754,2464,50000,0,2464,36,1789,0.014610,0.224741,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,37,4,0,1.496260,0.377040,0.000095,0.000191,2.534425,62,0.035147,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.375837,0.379288,,0,1.000000,SAFE,1,current,50000,182.3874,0.97352034,-0.20698681,1.33611953,-0.02766427,1.57079256,0.97349828,-0.01904417,0.02773706,0.03516975,0.00764288,0.00000000,-0.01921238
30,5.337302,1786977584.543159,2596,50000,0,2596,46,1828,0.017720,0.224668,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,41,4,0,1.662138,0.373729,0.000399,0.000668,2.700459,66,0.033937,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.372233,0.370861,,0,1.000000,SAFE,1,current,50000,178.4077,0.96984130,-0.20178188,1.34269631,-0.02631443,1.57079256,0.96984500,-0.01936811,0.02740110,0.03462311,0.00710615,0.00000000,-0.01923255
31,5.507538,1786977584.721586,2577,50000,0,2577,59,1860,0.022895,0.223334,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,45,4,0,1.828318,0.370337,0.000400,0.000657,2.866533,70,0.033419,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.369133,0.357372,,0,1.000000,SAFE,1,current,50000,163.0215,0.96655107,-0.19715652,1.34854686,-0.02516634,1.57079256,0.96655470,-0.01932750,0.02717031,0.03436731,0.00674412,0.00000000,-0.01932785
32,5.674249,1786977584.884627,2499,50000,1,2499,85,1778,0.034014,0.225628,1,0,0,0.375053,upperArm_Link,0,0.476148,-0.492404,0.358724,,,,1.200,,no_stable_track,RUNNING,1,50,5,0,2.036169,0.366228,0.000290,0.000539,3.074448,75,0.034359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.086372,1,0.010361,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.365440,0.355755,,0,1.000000,SAFE,1,current,50000,202.4664,0.96318746,-0.19253112,1.35427630,-0.02401091,1.57079256,0.96319848,-0.02017627,0.02774496,0.03436745,0.00693073,0.00000000,-0.02013194
33,5.874721,1786977585.087124,2539,50000,1,2539,99,1874,0.038992,0.222880,1,0,0,0.373565,upperArm_Link,0,0.502210,-0.486985,0.367837,,,,1.200,,no_stable_track,RUNNING,1,54,4,0,2.202386,0.362933,0.000408,0.000492,3.240574,79,0.032770,0.092148,0.081265,0.025803,0.034951,0.141767,0.092148,0.125022,0.039697,0.053771,0.650,0.084603,2,0.012827,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.361127,0.354244,,0,1.000000,SAFE,1,current,50000,180.7937,0.95923334,-0.18716113,1.36099982,-0.02266108,1.57079256,0.95926273,-0.01972400,0.02678672,0.03353844,0.00673327,0.00000000,-0.01963242
