frame,timestamp,scene_points,robot_points,cluster_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_points,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,risk_state_current,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
28,1786019501.963626,2332,50000,1,0.253528,upperArm_Link,0,154,0.689390,-0.127080,0.392380,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
29,1786019502.088574,2210,50000,1,0.255022,upperArm_Link,0,164,0.683501,-0.123964,0.400364,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
30,1786019502.218110,2307,50000,1,0.256366,upperArm_Link,0,155,0.688808,-0.128530,0.391250,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
31,1786019502.348917,2259,50000,1,0.257723,upperArm_Link,0,169,0.680619,-0.126096,0.405385,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
32,1786019502.470120,2340,50000,1,0.249448,upperArm_Link,0,167,0.688897,-0.122909,0.385158,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
33,1786019502.628505,2354,50000,1,0.253475,upperArm_Link,0,176,0.685576,-0.124783,0.396138,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
34,1786019502.762374,2310,50000,1,0.255182,upperArm_Link,0,171,0.689049,-0.124259,0.389133,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
35,1786019502.892776,2290,50000,1,0.252882,upperArm_Link,0,156,0.687786,-0.121483,0.388834,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
36,1786019503.020683,2339,50000,1,0.254202,upperArm_Link,0,156,0.686871,-0.126969,0.391397,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
37,1786019503.155042,2263,50000,1,0.253069,upperArm_Link,0,177,0.684776,-0.125339,0.394935,SAFE,0.86983252,-0.42899790,1.02395940,-0.11783173,1.57078171,0.86983252
