frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.761985,1787103504.804960,2380,50000,0,2380,21,1699,0.008824,0.224674,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.358965,0.581683,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.465479,,0,1.000000,SAFE,1,current,50000,175.1941,0.41316301,-0.10533476,1.44936633,-0.01645844,1.57079637,0.41389662,0.43116103,-0.07608220,-0.08870523,-0.01089631,-0.00002148,0.43101186
11,1.935401,1787103504.980172,2348,50000,0,2348,34,1690,0.014480,0.224637,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.312625,0.505319,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.462463,,0,1.000000,SAFE,1,current,50000,168.1824,0.48952770,-0.11877441,1.43363047,-0.01835481,1.57079637,0.49028695,0.44035574,-0.07749955,-0.09074060,-0.01093539,0.00000000,0.44050354
12,2.104770,1787103505.148372,2423,50000,0,2423,19,1704,0.007842,0.223812,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.267265,0.431129,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.450295,,0,1.000000,SAFE,1,current,50000,166.6578,0.56371725,-0.13185093,1.41841173,-0.02019249,1.57080007,0.56444716,0.43803615,-0.07720745,-0.08985573,-0.01085020,0.00002182,0.43786300
13,2.273383,1787103505.315048,2424,50000,0,2424,11,1656,0.004538,0.222821,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.221882,0.356969,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.460130,,0,1.000000,SAFE,1,current,50000,164.9097,0.63787740,-0.14491646,1.40315652,-0.02210720,1.57079637,0.63859999,0.43982504,-0.07748835,-0.09047479,-0.01135566,-0.00002192,0.43978156
14,2.440483,1787103505.479974,2387,50000,0,2387,16,1714,0.006703,0.221940,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.178051,0.284976,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.457817,,0,1.000000,SAFE,1,current,50000,187.8266,0.70986980,-0.15760782,1.38831186,-0.02390454,1.57079637,0.71063280,0.43083279,-0.07595046,-0.08883667,-0.01075600,0.00000000,0.43107463
15,2.624194,1787103505.667820,2460,50000,0,2460,17,1691,0.006911,0.223112,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.130054,0.205267,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.478163,,0,1.000000,SAFE,1,current,50000,177.1789,0.78957975,-0.17185445,1.37173605,-0.02588527,1.57079637,0.79012263,0.43388676,-0.07754896,-0.09022746,-0.01078178,0.00000000,0.43268858
16,2.802331,1787103505.845014,2470,50000,0,2470,6,1714,0.002429,0.223869,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.088665,0.137852,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.450872,,0,1.000000,SAFE,1,current,50000,174.7522,0.85699439,-0.18530877,1.35600758,-0.02786601,1.57079637,0.85735750,0.37844404,-0.07552820,-0.08829458,-0.01111921,0.00000000,0.37743489
17,2.977468,1787103506.019787,2509,50000,0,2509,10,1746,0.003986,0.223350,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.056091,0.083690,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.434226,,0,1.000000,SAFE,1,current,50000,166.0448,0.91115648,-0.19876678,1.34029019,-0.02981373,1.57079637,0.91138393,0.30925524,-0.07684271,-0.08974330,-0.01112113,0.00000000,0.30848065
18,3.144631,1787103506.185859,2561,50000,0,2561,21,1739,0.008200,0.224592,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.032065,0.044086,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.462249,,0,1.000000,SAFE,1,current,50000,187.6069,0.95076025,-0.21184696,1.32505310,-0.03157072,1.57079637,0.95082986,0.23691636,-0.07824782,-0.09115083,-0.01051058,0.00000000,0.23597218
19,3.330581,1787103506.373494,2491,50000,0,2491,26,1681,0.010438,0.224162,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.012527,0.015585,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.473262,,0,1.000000,SAFE,1,current,50000,167.4376,0.97926080,-0.22603856,1.30855811,-0.03365049,1.57079637,0.97927177,0.15327035,-0.07631960,-0.08870679,-0.01118459,0.00000000,0.15295494
