frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,dynamic_valid,block_reason
28,3.731051,24,2,0.687760,0.502319,0.341775,0.018705,0.207831,0.207831,0.163214,0.097780,0.129158,0.184158,0.097780,0.019513,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
29,3.859552,24,3,0.655248,0.529788,0.368418,0.069522,0.256559,0.256559,0.184288,0.136255,0.165803,0.220803,0.136255,0.045429,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
30,3.986372,24,4,0.649563,0.527134,0.371458,0.091587,0.199391,0.199391,0.109711,0.126733,0.168427,0.223427,0.126733,0.055362,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
31,4.119587,24,5,0.655211,0.526037,0.387903,0.095212,0.161078,0.161078,0.059552,0.125280,0.179297,0.234297,0.125280,0.054565,1,1,0,valid_streak_not_ready
32,4.252582,24,6,0.665610,0.510315,0.384425,0.077950,0.092098,0.092098,0.067648,0.128400,0.156967,0.211967,0.128400,0.045240,2,1,1,
33,4.384338,24,7,0.670915,0.528719,0.379058,0.063678,0.035851,0.035851,0.094217,0.108139,0.153501,0.208501,0.108139,0.040231,3,1,1,
34,4.503967,24,8,0.661658,0.517726,0.385938,0.055696,0.040673,0.040673,0.059250,0.121964,0.154090,0.209090,0.121964,0.050709,4,1,1,
34,4.503967,25,1,0.640581,-0.576934,0.379137,0.000000,0.000000,0.000000,,0.134864,0.156946,0.211946,0.134864,0.018371,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
35,4.639282,24,9,0.692992,0.509652,0.369068,0.023954,0.086749,0.086749,0.139979,0.091990,0.144717,0.199717,0.091990,0.033874,5,1,1,
35,4.639282,25,2,0.640682,-0.562894,0.373729,0.010004,0.111155,0.111155,0.076892,0.133548,0.157368,0.212368,0.133548,0.024637,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
36,4.771153,24,10,0.691875,0.517642,0.359825,0.010339,0.070475,0.070475,0.034171,0.112943,0.140765,0.195765,0.112943,0.040222,6,1,1,
36,4.771153,25,3,0.638392,-0.567669,0.384479,0.000000,0.040761,0.040761,0.159265,0.123636,0.155303,0.210303,0.123636,0.020598,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
37,4.900237,25,4,0.648279,-0.565323,0.384082,0.000000,0.037334,0.037334,0.071970,0.132291,0.159606,0.214606,0.132291,0.017693,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
37,4.900237,24,11,0.695606,0.520517,0.364029,0.016107,0.058143,0.058143,0.052028,0.124521,0.166038,0.221038,0.124521,0.045384,7,1,1,
38,5.033649,25,5,0.645769,-0.565839,0.386525,0.000000,0.026998,0.026998,0.071327,0.135719,0.156009,0.211009,0.135719,0.019905,0,0,0,"speed_ok,valid_streak_not_ready"
39,5.166294,25,6,0.636599,-0.567800,0.387581,0.000000,0.028968,0.028968,0.033667,0.134455,0.154210,0.209210,0.134455,0.025358,0,0,0,"speed_ok,valid_streak_not_ready"
40,5.297957,25,7,0.654199,-0.549911,0.377604,0.015893,0.047076,0.047076,0.074027,0.129093,0.161523,0.216523,0.129093,0.016532,0,0,0,"speed_ok,valid_streak_not_ready"
41,5.434388,25,8,0.634738,-0.550769,0.371999,0.019794,0.044048,0.044048,0.059988,0.136254,0.167885,0.222885,0.136254,0.029281,0,0,0,"speed_ok,valid_streak_not_ready"
42,5.559650,25,9,0.636760,-0.556584,0.383714,0.000000,0.025164,0.025164,0.043779,0.137152,0.172812,0.227812,0.137152,0.028816,0,0,0,"speed_ok,valid_streak_not_ready"
43,5.690062,25,10,0.658697,-0.539339,0.370387,0.019212,0.075995,0.075995,0.052383,0.132769,0.177101,0.232101,0.132769,0.021385,0,0,0,"speed_ok,valid_streak_not_ready"
44,5.821717,25,11,0.637271,-0.536741,0.372927,0.021805,0.041949,0.041949,0.041078,0.136852,0.186803,0.241803,0.136852,0.030757,0,0,0,"speed_ok,valid_streak_not_ready"
45,5.948940,25,12,0.640760,-0.532361,0.380366,0.025720,0.041047,0.041047,0.100137,0.136459,0.188811,0.243811,0.136459,0.023764,0,0,0,"speed_ok,valid_streak_not_ready"
46,6.079693,25,13,0.636505,-0.525450,0.376112,0.029986,0.061643,0.061643,0.053494,0.135546,0.177753,0.232753,0.135546,0.031767,0,0,0,"speed_ok,valid_streak_not_ready"
47,6.215402,25,14,0.634841,-0.524204,0.382267,0.030741,0.058753,0.058753,0.035545,0.138618,0.180653,0.235653,0.138618,0.028191,0,0,0,"speed_ok,valid_streak_not_ready"
48,6.349832,25,15,0.650253,-0.515490,0.380592,0.033874,0.049924,0.049924,0.052544,0.135143,0.184192,0.239192,0.135143,0.021009,0,0,0,"speed_ok,valid_streak_not_ready"
49,6.474226,25,16,0.638910,-0.531267,0.382203,0.000000,0.005316,0.005316,0.047717,0.139316,0.178510,0.233510,0.139316,0.032268,0,0,0,"speed_ok,valid_streak_not_ready"
50,6.605068,25,17,0.636993,-0.521087,0.383209,0.000000,0.015898,0.015898,0.050832,0.144853,0.182026,0.237026,0.144853,0.030743,0,0,0,"speed_ok,valid_streak_not_ready"
51,6.736242,25,18,0.633504,-0.516092,0.375453,0.000000,0.020401,0.020401,0.061651,0.149659,0.208539,0.263539,0.149659,0.033140,0,0,0,"speed_ok,valid_streak_not_ready"
52,6.869320,25,19,0.631154,-0.513398,0.388821,0.010631,0.039817,0.039817,0.104032,0.138210,0.182159,0.237159,0.138210,0.036848,0,0,0,"speed_ok,valid_streak_not_ready"
53,7.003683,25,20,0.656831,-0.505134,0.393967,0.022285,0.063982,0.063982,0.067384,0.140346,0.179236,0.234236,0.140346,0.018303,0,0,0,"speed_ok,valid_streak_not_ready"
54,7.131309,25,21,0.631109,-0.494737,0.373714,0.025407,0.054309,0.054309,0.099563,0.147611,0.198510,0.253510,0.147611,0.037311,0,0,0,"speed_ok,valid_streak_not_ready"
55,7.261888,25,22,0.637973,-0.492191,0.391654,0.030548,0.055659,0.055659,0.162974,0.140643,0.180428,0.235428,0.140643,0.036705,0,0,0,"speed_ok,valid_streak_not_ready"
56,7.399360,25,23,0.642575,-0.472102,0.387768,0.043090,0.081266,0.081266,0.062102,0.139298,0.179687,0.234687,0.139298,0.028952,1,1,0,valid_streak_not_ready
57,7.528663,25,24,0.629698,-0.481210,0.383787,0.039405,0.071494,0.071494,0.037944,0.143223,0.174816,0.229816,0.143223,0.044449,2,1,1,
58,7.652686,25,25,0.654219,-0.473712,0.391756,0.041224,0.069402,0.069402,0.066252,0.140975,0.171384,0.226384,0.140975,0.028157,3,1,1,
59,7.785114,25,26,0.647671,-0.459305,0.387800,0.047179,0.066276,0.066276,0.063973,0.138877,0.168588,0.223588,0.138877,0.028721,4,1,1,
60,7.917463,25,27,0.631672,-0.460593,0.388176,0.043616,0.030374,0.030374,0.109616,0.149438,0.188464,0.243464,0.149438,0.036258,5,1,1,
61,8.050743,25,28,0.639844,-0.456527,0.390284,0.041582,0.052672,0.052672,0.096067,0.136293,0.172518,0.227518,0.136293,0.035045,6,1,1,
62,8.181444,25,29,0.643023,-0.453195,0.386725,0.038908,0.045055,0.045055,0.043549,0.142043,0.169513,0.224513,0.142043,0.035242,7,1,1,
63,8.312931,25,30,0.645380,-0.443490,0.388604,0.041041,0.030128,0.030128,0.073919,0.139645,0.168800,0.223800,0.139645,0.032996,8,1,1,
64,8.442584,25,31,0.647330,-0.421300,0.386351,0.053900,0.080501,0.080501,0.039495,0.140072,0.180528,0.235528,0.140072,0.024962,9,1,1,
65,8.574493,25,32,0.637163,-0.428191,0.389082,0.050112,0.054284,0.054284,0.041007,0.145417,0.170330,0.225330,0.145417,0.035129,10,1,1,
66,8.707270,25,33,0.646120,-0.417142,0.390618,0.051572,0.069419,0.069419,0.086344,0.135212,0.169099,0.224099,0.135212,0.031170,11,1,1,
67,8.840637,25,34,0.643759,-0.399249,0.365637,0.061225,0.094985,0.094985,0.132631,0.145012,0.179158,0.234158,0.145012,0.046870,12,1,1,
68,8.978005,25,35,0.640587,-0.384135,0.382292,0.068154,0.071378,0.071378,0.037623,0.147957,0.188103,0.243103,0.147957,0.032969,13,1,1,
69,9.108612,25,36,0.642523,-0.385913,0.392406,0.064627,0.079946,0.079946,0.031172,0.137610,0.176209,0.231209,0.137610,0.029930,14,1,1,
70,9.241109,25,37,0.657463,-0.388650,0.398019,0.057315,0.058952,0.058952,0.070714,0.136200,0.169381,0.224381,0.136200,0.023476,15,1,1,
71,9.376850,25,38,0.650388,-0.373844,0.388668,0.057402,0.065223,0.065223,0.123403,0.138486,0.168916,0.223916,0.138486,0.029992,16,1,1,
72,9.506714,25,39,0.650903,-0.367467,0.393617,0.057038,0.042675,0.042675,0.056227,0.137047,0.168190,0.223190,0.137047,0.026535,17,1,1,
73,9.639904,25,40,0.656580,-0.358753,0.394649,0.058267,0.057920,0.057920,0.085933,0.137194,0.166298,0.221298,0.137194,0.025632,18,1,1,
74,9.771348,25,41,0.641060,-0.348004,0.387879,0.059039,0.084715,0.084715,0.087039,0.146622,0.177166,0.232166,0.146622,0.031180,19,1,1,
75,9.903984,25,42,0.646723,-0.334330,0.386158,0.064556,0.075170,0.075170,0.075222,0.143338,0.179028,0.234028,0.143338,0.028508,20,1,1,
76,10.054018,25,43,0.660221,-0.339535,0.393758,0.059382,0.056621,0.056621,0.095701,0.140112,0.171002,0.226002,0.140112,0.024762,21,1,1,
77,10.168946,25,44,0.643067,-0.328596,0.386730,0.056081,0.064055,0.064055,0.068635,0.141361,0.167466,0.222466,0.141361,0.035176,22,1,1,
78,10.301854,25,45,0.639050,-0.332534,0.392015,0.048428,0.030580,0.030580,0.044184,0.143361,0.177876,0.232876,0.143361,0.036693,23,1,1,
79,10.431192,25,46,0.660866,-0.319231,0.397532,0.049337,0.044509,0.044509,0.107005,0.136562,0.167732,0.222732,0.136562,0.023305,24,1,1,
80,10.570306,25,47,0.670855,-0.307713,0.394461,0.055235,0.061877,0.061877,0.060552,0.139241,0.164715,0.219715,0.139241,0.019563,25,1,1,
81,10.701761,25,48,0.659111,-0.294170,0.394289,0.060624,0.073004,0.073004,0.003325,0.134442,0.164427,0.219427,0.134442,0.024171,26,1,1,
82,10.833528,25,49,0.656641,-0.295486,0.387529,0.056386,0.077411,0.077411,0.136529,0.140460,0.166866,0.221866,0.140460,0.027996,27,1,1,
83,10.966898,25,50,0.652643,-0.298372,0.386228,0.047376,0.047064,0.047064,0.019507,0.144178,0.171764,0.226764,0.144178,0.033605,28,1,1,
