frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.098482,1786346851.241015,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,98.9268,0.00000000,0.00000367,1.57079637,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.220492,1786346851.339979,2554,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,161.7759,0.00000000,-0.00005135,1.57078898,-0.00002934,1.57079637,0.00000000,0.00000000,-0.00045095,-0.00006058,-0.00024051,0.00000000,0.00000000
2,0.340223,1786346851.501771,2517,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,132.5268,0.00000000,-0.00200274,1.56897330,-0.00143420,1.57079637,0.00000000,0.00000000,-0.01629808,-0.01516459,-0.01173339,0.00000000,0.00000000
3,0.487222,1786346851.634334,2603,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,136.8274,0.00000000,-0.01074365,1.56001973,-0.00430993,1.57079637,0.00000000,0.00000000,-0.05946272,-0.06090942,-0.01956306,0.00000000,0.00000000
4,0.626067,1786346851.771188,2550,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,137.2634,0.00000000,-0.02763859,1.54311740,-0.00685554,1.57079637,0.00000000,0.00000000,-0.12168201,-0.12173523,-0.01833420,0.00000000,0.00000000
5,0.743405,1786346851.908479,2569,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,121.9731,-0.00000367,-0.04821990,1.52189791,-0.00910038,1.57079637,0.00000000,-0.00003126,-0.17540156,-0.18084043,-0.01913130,0.00000000,0.00000000
6,0.870608,1786346852.030469,2589,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,128.4013,0.00000000,-0.07292040,1.49345958,-0.01145158,1.57079637,0.00000000,0.00002884,-0.19418123,-0.22356592,-0.01848384,0.00000000,0.00000000
7,0.996476,1786346852.158888,2638,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,128.5186,0.00000000,-0.09829582,1.46063077,-0.01371109,1.57079637,0.00000000,0.00000000,-0.20160356,-0.26081945,-0.01795140,0.00000000,0.00000000
8,1.127181,1786346852.287432,2647,50000,1,0,0,0.513068,right_link,0,0.700525,0.393066,0.228944,,,,SAFE,SAFE,,0.000000,0.527214,,0,1.000000,SAFE,current,50000,142.1661,0.00000000,-0.12476430,1.42550576,-0.01613932,1.57079637,0.00000000,0.00000000,-0.20250557,-0.26873520,-0.01857798,0.00000000,0.00000000
9,1.268779,1786346852.429616,2534,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,131.0114,0.00000000,-0.15401317,1.38969111,-0.01881331,1.57079637,0.00000000,0.00000000,-0.20656203,-0.25293097,-0.01888432,0.00000000,0.00000000
10,1.401475,1786346852.560646,2527,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,134.8009,0.00000000,-0.17785533,1.36437070,-0.02117186,1.57079637,0.00000000,0.00000000,-0.17967577,-0.19081598,-0.01777412,0.00000000,0.00000000
11,1.532491,1786346852.695477,2600,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,129.5447,0.00000000,-0.19569297,1.34657705,-0.02365511,1.57079637,0.00000000,0.00000000,-0.13614874,-0.13581299,-0.01895385,0.00000000,0.00000000
12,1.665748,1786346852.825039,2497,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,130.6560,0.00000000,-0.20632657,1.33596182,-0.02606867,1.57079637,0.00000000,0.00000000,-0.07979728,-0.07965940,-0.01811198,0.00000000,0.00000000
13,1.795592,1786346852.955712,2380,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,130.1028,0.00000000,-0.20981486,1.33242953,-0.02820347,1.57079637,0.00000000,0.00000000,-0.02686536,-0.02720426,-0.01644130,0.00000000,0.00000000
14,1.925248,1786346853.085833,2432,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,current,50000,131.0318,0.00000000,-0.21020001,1.33208108,-0.02857761,1.57079637,0.00000000,0.00000000,-0.00297056,-0.00268749,-0.00288562,0.00000000,0.00000000
15,2.058925,1786346853.216883,2510,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.191000,,,1,1.000000,SAFE,current,50000,131.4871,0.00000000,-0.21021836,1.33205163,-0.02858494,1.57079637,0.00000000,0.00000000,-0.00013722,-0.00022027,-0.00005489,0.00000000,0.00000000
16,2.185118,1786346853.348397,2492,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.190707,,,1,1.000000,SAFE,current,50000,129.2151,0.00015773,-0.21017434,1.33205914,-0.02858494,1.57079637,0.00011371,0.00124988,0.00034882,0.00005951,0.00000000,0.00000000,0.00090107
17,2.316621,1786346853.477630,2483,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.189669,,,1,1.000000,SAFE,current,50000,132.4093,0.00147455,-0.20965715,1.33260930,-0.02854460,1.57079637,0.00146721,0.01001363,0.00393291,0.00418356,0.00030681,0.00000000,0.01029256
18,2.457155,1786346853.610072,2519,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.187962,,,1,1.000000,SAFE,current,50000,130.4901,0.00448233,-0.20839901,1.33432961,-0.02820713,1.57079637,0.00449700,0.02140252,0.00895253,0.01224123,0.00240128,0.00000000,0.02155913
19,2.584904,1786346853.740580,2528,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.185633,,,1,1.000000,SAFE,current,50000,129.2679,0.00846948,-0.20678875,1.33642399,-0.02764960,1.57079637,0.00850249,0.03121071,0.01260487,0.01639451,0.00436431,0.00000000,0.03135426
20,2.706041,1786346853.869866,2464,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.183248,,,1,1.000000,SAFE,current,50000,127.5245,0.01253732,-0.20515648,1.33837175,-0.02720210,1.57079637,0.01259234,0.03358062,0.01347464,0.01607904,0.00369418,0.00000000,0.03376229
21,2.836639,1786346853.997420,2525,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.180140,,,1,1.000000,SAFE,current,50000,130.5396,0.01701231,-0.20341784,1.34058726,-0.02674726,1.57079637,0.01701965,0.03426534,0.01331287,0.01696428,0.00348271,0.00000000,0.03390023
22,2.967875,1786346854.127990,2544,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.177631,,,1,1.000000,SAFE,current,50000,131.8294,0.02164503,-0.20164616,1.34286141,-0.02628876,1.57079637,0.02160835,0.03530067,0.01349990,0.01732874,0.00349374,0.00000000,0.03496526
23,3.098633,1786346854.259847,2599,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.175233,,,1,1.000000,SAFE,current,50000,132.3300,0.02607601,-0.19995888,1.34498155,-0.02586327,1.57079637,0.02606867,0.03388693,0.01290393,0.01621424,0.00325403,0.00000000,0.03411135
24,3.230295,1786346854.392196,2531,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.172136,,,1,1.000000,SAFE,current,50000,129.3187,0.03054734,-0.19828260,1.34713829,-0.02543777,1.57079637,0.03055101,0.03396054,0.01273162,0.01638079,0.00323169,0.00000000,0.03404412
25,3.358670,1786346854.521532,2603,50000,1,0,0,0.478469,right_link,0,0.658510,0.432694,0.215937,,,,SAFE,SAFE,,-0.169740,0.493736,,0,1.000000,SAFE,current,50000,150.5739,0.03502600,-0.19666499,1.34912264,-0.02502329,1.57079637,0.03499299,0.03488754,0.01260074,0.01545760,0.00322874,0.00000000,0.03460184
26,3.512469,1786346854.672138,2535,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.166633,,,1,1.000000,SAFE,current,50000,132.8966,0.04018691,-0.19478697,1.35147750,-0.02455378,1.57079637,0.04019058,0.03355604,0.01221083,0.01531120,0.00305272,0.00000000,0.03379455
27,3.642756,1786346854.805064,2583,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.164130,,,1,1.000000,SAFE,current,50000,131.8480,0.04483064,-0.19312535,1.35353541,-0.02413562,1.57079637,0.04485998,0.03564231,0.01275349,0.01579521,0.00320950,0.00000000,0.03583934
28,3.776168,1786346854.936941,2511,50000,1,0,0,0.457132,right_link,0,0.671126,0.423102,0.226883,,,,SAFE,SAFE,,-0.161735,0.472305,,0,1.000000,SAFE,current,50000,138.2110,0.04931664,-0.19160311,1.35550880,-0.02373581,1.57079637,0.04933498,0.03362536,0.01141016,0.01479180,0.00299685,0.00000000,0.03354287
29,3.912719,1786346855.075169,2488,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.158643,,,1,1.000000,SAFE,current,50000,125.7341,0.05398237,-0.18996717,1.35751152,-0.02334333,1.57079637,0.05396403,0.03416832,0.01198040,0.01466640,0.00287423,0.00000000,0.03389974
30,4.039537,1786346855.200932,2504,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.156035,,,1,1.000000,SAFE,current,50000,125.0575,0.05847570,-0.18843395,1.35934186,-0.02296186,1.57079637,0.05845003,0.03543142,0.01208998,0.01443282,0.00300804,0.00000000,0.03537355
31,4.169732,1786346855.326007,2481,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.153641,,,1,1.000000,SAFE,current,50000,129.0189,0.06260957,-0.18707676,1.36110985,-0.02262806,1.57079637,0.06260957,0.03175130,0.01042422,0.01357956,0.00256379,0.00000000,0.03194851
32,4.291786,1786346855.455044,2462,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.151148,,,1,1.000000,SAFE,current,50000,129.8684,0.06711391,-0.18560588,1.36293292,-0.02227227,1.57079637,0.06711024,0.03690437,0.01205100,0.01493650,0.00291507,0.00000000,0.03687428
33,4.423814,1786346855.584943,2442,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.148740,,,1,1.000000,SAFE,current,50000,129.3235,0.07180165,-0.18410200,1.36471188,-0.02191647,1.57079637,0.07180899,0.03550588,0.01139072,0.01347419,0.00269489,0.00000000,0.03558923
34,4.554316,1786346855.714286,2325,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.145635,,,1,1.000000,SAFE,current,50000,132.3716,0.07629865,-0.18266046,1.36655319,-0.02158268,1.57079637,0.07633167,0.03445906,0.01104606,0.01410937,0.00255773,0.00000000,0.03465591
35,4.682407,1786346855.846675,2483,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,-0.143241,,,1,1.000000,SAFE,current,50000,128.3144,0.08063793,-0.18134731,1.36821115,-0.02126356,1.57079637,0.08067460,0.03387664,0.01025171,0.01294365,0.00249135,0.00000000,0.03390514
36,4.812642,1786346855.975018,2480,50000,1,0,0,0.268612,left_link,0,0.712241,-0.502029,0.371639,,,,SAFE,SAFE,,-0.140746,0.276136,,0,1.000000,SAFE,current,50000,159.3252,0.08517161,-0.17994611,1.36984336,-0.02095178,1.57079637,0.08515694,0.03481157,0.01075904,0.01253285,0.00239399,0.00000000,0.03441735
37,4.974373,1786346856.134365,2512,50000,1,0,0,0.264883,left_link,0,0.714747,-0.497071,0.371278,,,,SAFE,SAFE,,-0.137638,0.269126,,0,1.000000,SAFE,current,50000,142.5510,0.09091574,-0.17822215,1.37200761,-0.02056297,1.57079637,0.09088273,0.03551642,0.01065939,0.01338170,0.00240406,0.00000000,0.03540300
38,5.113664,1786346856.276933,2460,50000,1,1,1,0.261047,left_link,0,0.711623,-0.496285,0.376814,0.123857,left_link,0.000,SAFE,WARNING,0.000000,-0.134635,0.269541,,0,1.000000,SAFE,current,50000,146.7517,0.09577588,-0.17680629,1.37374985,-0.02023651,1.57079637,0.09576120,0.03489198,0.01016479,0.01250794,0.00234369,0.00000000,0.03502362
