scenario_id,angle_deg,center_x_m,center_y_m,center_z_m,speed_m_s,velocity_x_m_s,velocity_y_m_s,trigger_current_m,trigger_predicted_m,trigger_ok,local1_ready,coarse_m,fast_m,fast_ms,hold_start_m,hold_min_m,hold_end_m,tail_safe,moving_away,feasible
1,-75.0,0.48,-0.24,0.3662453006383523,0.06,-0.0579555495773441,0.015529142706151244,0.11126117483230785,0.0799179571048913,False,False,nan,nan,nan,nan,nan,nan,False,False,False
2,-75.0,0.48,-0.24,0.3662453006383523,0.08,-0.07727406610312547,0.02070552360820166,0.11126117483230785,0.06922970898503164,False,False,nan,nan,nan,nan,nan,nan,False,False,False
3,-75.0,0.48,-0.24,0.3662453006383523,0.1,-0.09659258262890684,0.025881904510252074,0.11126117483230785,0.058549950152026686,False,False,nan,nan,nan,nan,nan,nan,False,False,False
4,-75.0,0.48,-0.24,0.3662453006383523,0.12,-0.1159110991546882,0.03105828541230249,0.11126117483230785,0.04787967932186324,False,False,nan,nan,nan,nan,nan,nan,False,False,False
5,-75.0,0.48,-0.24,0.3662453006383523,0.14,-0.13522961568046957,0.036234666314352904,0.11126117483230785,0.03722005705032452,False,False,nan,nan,nan,nan,nan,nan,False,False,False
6,-75.0,0.48,-0.16,0.3662453006383523,0.06,-0.0579555495773441,0.015529142706151244,0.08318114364293594,0.05426140628708137,False,False,nan,nan,nan,nan,nan,nan,False,False,False
7,-75.0,0.48,-0.16,0.3662453006383523,0.08,-0.07727406610312547,0.02070552360820166,0.08318114364293594,0.04362711804730818,False,False,nan,nan,nan,nan,nan,nan,False,False,False
8,-75.0,0.48,-0.16,0.3662453006383523,0.1,-0.09659258262890684,0.025881904510252074,0.08318114364293594,0.03300975862712177,False,False,nan,nan,nan,nan,nan,nan,False,False,False
9,-75.0,0.48,-0.16,0.3662453006383523,0.12,-0.1159110991546882,0.03105828541230249,0.08318114364293594,0.022412032428082984,False,False,nan,nan,nan,nan,nan,nan,False,False,False
10,-75.0,0.48,-0.16,0.3662453006383523,0.14,-0.13522961568046957,0.036234666314352904,0.08318114364293594,0.011837244868232094,False,False,nan,nan,nan,nan,nan,nan,False,False,False
11,-75.0,0.48,-0.08,0.3662453006383523,0.06,-0.0579555495773441,0.015529142706151244,0.06889907582064567,0.04485639483690396,False,False,nan,nan,nan,nan,nan,nan,False,False,False
12,-75.0,0.48,-0.08,0.3662453006383523,0.08,-0.07727406610312547,0.02070552360820166,0.06889907582064567,0.03481001225189931,False,False,nan,nan,nan,nan,nan,nan,False,False,False
13,-75.0,0.48,-0.08,0.3662453006383523,0.1,-0.09659258262890684,0.025881904510252074,0.06889907582064567,0.024841629666453646,False,False,nan,nan,nan,nan,nan,nan,False,False,False
14,-75.0,0.48,-0.08,0.3662453006383523,0.12,-0.1159110991546882,0.03105828541230249,0.06889907582064567,0.014963374252281447,False,False,nan,nan,nan,nan,nan,nan,False,False,False
15,-75.0,0.48,-0.08,0.3662453006383523,0.14,-0.13522961568046957,0.036234666314352904,0.06889907582064567,0.005189862430560771,False,False,nan,nan,nan,nan,nan,nan,False,False,False
16,-75.0,0.48,0.0,0.3662453006383523,0.06,-0.0579555495773441,0.015529142706151244,0.03409335927680976,0.026788258027066664,False,False,nan,nan,nan,nan,nan,nan,False,False,False
17,-75.0,0.48,0.0,0.3662453006383523,0.08,-0.07727406610312547,0.02070552360820166,0.03409335927680976,0.028304444143964352,False,False,nan,nan,nan,nan,nan,nan,False,False,False
18,-75.0,0.48,0.0,0.3662453006383523,0.1,-0.09659258262890684,0.025881904510252074,0.03409335927680976,0.029850165623868302,False,False,nan,nan,nan,nan,nan,nan,False,False,False
19,-75.0,0.48,0.0,0.3662453006383523,0.12,-0.1159110991546882,0.03105828541230249,0.03409335927680976,0.03067461880724251,False,False,nan,nan,nan,nan,nan,nan,False,False,False
20,-75.0,0.48,0.0,0.3662453006383523,0.14,-0.13522961568046957,0.036234666314352904,0.03409335927680976,0.02903660435319541,False,False,nan,nan,nan,nan,nan,nan,False,False,False
21,-75.0,0.48,0.08,0.3662453006383523,0.06,-0.0579555495773441,0.015529142706151244,-0.029583360155055194,-0.031308257940536766,False,False,nan,nan,nan,nan,nan,nan,False,False,False
22,-75.0,0.48,0.08,0.3662453006383523,0.08,-0.07727406610312547,0.02070552360820166,-0.029583360155055194,-0.02977992298693133,False,False,nan,nan,nan,nan,nan,nan,False,False,False
23,-75.0,0.48,0.08,0.3662453006383523,0.1,-0.09659258262890684,0.025881904510252074,-0.029583360155055194,-0.029583360155055194,False,False,nan,nan,nan,nan,nan,nan,False,False,False
24,-75.0,0.48,0.08,0.3662453006383523,0.12,-0.1159110991546882,0.03105828541230249,-0.029583360155055194,-0.029583360155055194,False,False,nan,nan,nan,nan,nan,nan,False,False,False
25,-75.0,0.48,0.08,0.3662453006383523,0.14,-0.13522961568046957,0.036234666314352904,-0.029583360155055194,-0.029583360155055194,False,False,nan,nan,nan,nan,nan,nan,False,False,False
