frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.097803,1786344515.638201,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,97.9113,0.86939967,-0.42980483,1.02276719,-0.11857634,1.57122552,0.86937767,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.194354,1786344515.736153,0,50000,0,0,0,,,,,,,,,,SAFE,SAFE,,96.5062,0.86932993,-0.42965081,1.02304602,-0.11854333,1.57122552,0.86931896,-0.00072229,0.00159520,0.00288791,0.00034185,0.00000000,-0.00060808
2,0.292079,1786344515.832700,2646,50000,1,0,0,0.454330,upperArm_Link,0,0.622207,-0.578541,0.387494,,,,SAFE,SAFE,,163.6761,0.86887151,-0.42898688,1.02418315,-0.11830857,1.57122552,0.86901081,-0.00469093,0.00679395,0.01163615,0.00240227,0.00000000,-0.00315331
3,0.439416,1786344515.996392,2576,50000,1,0,0,0.474041,upperArm_Link,0,0.620722,-0.576122,0.381971,,,,SAFE,SAFE,,131.5014,0.86724287,-0.42652562,1.02779245,-0.11685237,1.57122552,0.86716950,-0.01105380,0.01670490,0.02449685,0.00988350,0.00000000,-0.01249722
4,0.571155,1786344516.127913,2673,50000,1,1,1,0.466818,upperArm_Link,0,0.623146,-0.576685,0.386578,0.382824,upperArm_Link,0.000,SAFE,SAFE,0.000000,126.5562,0.86506039,-0.42334545,1.03268194,-0.11506604,1.57122552,0.86506778,-0.01656673,0.02413999,0.03711498,0.01355961,0.00000000,-0.01595367
5,0.699671,1786344516.254487,2571,50000,1,1,1,0.478890,upperArm_Link,0,0.619858,-0.579886,0.390266,0.392133,upperArm_Link,0.000,SAFE,SAFE,0.000000,132.0117,0.86261380,-0.41978747,1.03823900,-0.11316966,1.57122552,0.86257720,-0.01903729,0.02768517,0.04324031,0.01475597,0.00000000,-0.01937957
6,0.826749,1786344516.386516,2753,50000,1,1,1,0.453362,upperArm_Link,0,0.620507,-0.575932,0.376166,0.387354,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.2465,0.86022228,-0.41630286,1.04348803,-0.11140902,1.57122552,0.86019289,-0.01881924,0.02742094,0.04130542,0.01385482,0.00000000,-0.01876249
7,0.964483,1786344516.517782,2720,50000,1,1,1,0.467992,upperArm_Link,0,0.622054,-0.578526,0.383899,0.382359,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.5896,0.85750425,-0.41248074,1.04934216,-0.10929623,1.57122552,0.85750061,-0.01973399,0.02775009,0.04250330,0.01533965,0.00000000,-0.01954704
8,1.096323,1786344516.652390,2775,50000,1,1,1,0.467500,upperArm_Link,0,0.623579,-0.578141,0.380707,0.383344,upperArm_Link,0.000,SAFE,SAFE,0.000000,132.4581,0.85500997,-0.40896681,1.05467916,-0.10746222,1.57122552,0.85497332,-0.01891883,0.02665282,0.04048061,0.01391080,0.00000000,-0.01916929
9,1.236166,1786344516.784865,2678,50000,1,1,1,0.461160,upperArm_Link,0,0.621898,-0.575259,0.386090,0.380998,upperArm_Link,0.000,SAFE,SAFE,0.000000,141.5508,0.85225898,-0.40514836,1.06038654,-0.10559152,1.57122552,0.85223699,-0.01967201,0.02730528,0.04081279,0.01337714,0.00000000,-0.01956716
10,1.368438,1786344516.926434,2742,50000,1,1,1,0.461956,upperArm_Link,0,0.621460,-0.577467,0.386926,0.388023,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.5333,0.84963268,-0.40153906,1.06589222,-0.10367681,1.57122171,0.84959233,-0.01985532,0.02728698,0.04162397,0.01447556,-0.00002884,-0.01999411
11,1.500181,1786344517.057984,2677,50000,1,1,1,0.466600,upperArm_Link,0,0.623171,-0.578157,0.379290,0.380080,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.4076,0.84706873,-0.39808005,1.07116687,-0.10188682,1.57122171,0.84705776,-0.01946184,0.02625580,0.04003758,0.01358706,0.00000000,-0.01923879
12,1.634043,1786344517.192420,2588,50000,1,1,1,0.462272,upperArm_Link,0,0.622054,-0.577040,0.381648,0.382242,upperArm_Link,0.000,SAFE,SAFE,0.000000,130.4903,0.84440941,-0.39450744,1.07651484,-0.10014083,1.57122171,0.84437639,-0.01986616,0.02668881,0.03995140,0.01304318,0.00000000,-0.02003091
