frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
89,12.617200,1,24,0.667399,-0.444825,0.369449,0.040684,0.090555,0.090555,0.101510,0.028911,0.085784,-0.002330,0.123080,0.154346,0.209346,0.123080,0.020623,1,1,1,0,valid_streak_not_ready
90,12.778065,1,25,0.659071,-0.431675,0.373181,0.052583,0.102290,0.102290,0.119281,0.022692,0.096353,0.025774,0.123038,0.155748,0.210748,0.123038,0.022355,2,1,1,1,
91,12.930841,1,26,0.664981,-0.406312,0.366026,0.068815,0.117109,0.117109,0.135615,0.024414,0.114470,0.003893,0.129726,0.151340,0.206340,0.129726,0.018632,3,1,1,1,
92,13.092184,1,27,0.657614,-0.402913,0.370518,0.072085,0.103709,0.103709,0.064834,-0.007523,0.103240,0.006373,0.125289,0.154974,0.209974,0.125289,0.024477,4,1,1,1,
93,13.250424,1,28,0.654216,-0.391722,0.372229,0.073688,0.086362,0.086362,0.067757,-0.020782,0.083710,0.004383,0.120817,0.150926,0.205926,0.120817,0.024997,5,1,1,1,
94,13.401157,1,29,0.657046,-0.381546,0.362311,0.074978,0.082622,0.082622,0.048038,-0.003260,0.080683,-0.017494,0.121970,0.157117,0.212117,0.121970,0.026929,6,1,1,1,
95,13.569654,1,30,0.659568,-0.394578,0.362954,0.000000,0.020977,0.020977,0.008564,-0.008549,0.018531,-0.004851,0.128597,0.152375,0.207375,0.128597,0.028637,7,1,1,1,
96,13.746233,1,31,0.656455,-0.368745,0.370187,0.018243,0.052387,0.052387,0.089103,-0.001776,0.052355,-0.000507,0.125005,0.156845,0.211845,0.125005,0.022934,8,1,1,1,
97,13.915806,1,32,0.653534,-0.355176,0.365409,0.032798,0.055673,0.055673,0.109616,-0.001020,0.054719,-0.010211,0.125158,0.149548,0.204548,0.125158,0.030110,9,1,1,1,
98,14.092568,1,33,0.651459,-0.350039,0.362837,0.040096,0.046351,0.046351,0.059991,-0.008091,0.045633,0.000761,0.125488,0.149491,0.204491,0.125488,0.032941,10,1,1,1,
99,14.258394,1,34,0.664665,-0.327684,0.369610,0.051858,0.097627,0.097627,0.113305,0.007381,0.096870,0.009638,0.124777,0.147815,0.202815,0.124777,0.019301,11,1,1,1,
100,14.426315,1,35,0.652130,-0.322519,0.365938,0.056976,0.069371,0.069371,0.049384,-0.006435,0.068782,-0.006322,0.125737,0.145570,0.200570,0.125737,0.029204,12,1,1,1,
101,14.583139,1,36,0.663305,-0.294024,0.374487,0.070650,0.095163,0.095163,0.185576,0.014855,0.092978,0.013801,0.124649,0.150953,0.205953,0.124649,0.018237,13,1,1,1,
102,14.738315,1,37,0.664606,-0.296120,0.368485,0.070049,0.086601,0.086601,0.021780,0.020409,0.083704,0.008768,0.123540,0.154407,0.209407,0.123540,0.022007,14,1,1,1,
103,14.898761,1,38,0.656931,-0.277146,0.364702,0.073300,0.080533,0.080533,0.032209,-0.012126,0.079242,-0.007696,0.127002,0.154704,0.209704,0.127002,0.024032,15,1,1,1,
104,15.051473,1,39,0.648302,-0.268292,0.356637,0.074350,0.086672,0.086672,0.035643,-0.006016,0.085219,-0.014617,0.128581,0.168384,0.223384,0.128581,0.034077,16,1,1,1,
105,15.208141,1,40,0.658815,-0.267689,0.371029,0.068038,0.042482,0.042482,0.116735,-0.007081,0.041531,-0.005452,0.123021,0.151984,0.206984,0.123021,0.020976,17,1,1,1,
106,15.366478,1,41,0.650045,-0.254859,0.360921,0.066556,0.069999,0.069999,0.040696,-0.022955,0.065044,-0.011923,0.126274,0.163925,0.218925,0.126274,0.030488,18,1,1,1,
107,15.532089,1,42,0.649806,-0.262029,0.370361,0.055312,0.027682,0.027682,0.088757,-0.011178,0.023717,0.008879,0.121360,0.150272,0.205272,0.121360,0.030494,19,1,1,1,
108,15.693924,1,43,0.650169,-0.262842,0.370018,0.000000,0.022858,0.022858,0.073526,0.002930,0.008551,0.020995,0.126168,0.161781,0.216781,0.126168,0.027983,20,1,1,1,
109,15.864578,1,44,0.643756,-0.261327,0.366687,0.000000,0.025873,0.025873,0.045574,-0.023034,0.009732,-0.006642,0.125583,0.151441,0.206441,0.125583,0.031664,0,0,0,0,"speed_ok,valid_streak_not_ready"
110,16.028810,1,45,0.650588,-0.259028,0.369297,0.000000,0.014156,0.014156,0.022272,0.000821,-0.006297,0.012652,0.122965,0.147282,0.202282,0.122965,0.027125,0,0,0,0,"speed_ok,valid_streak_not_ready"
111,16.191630,1,46,0.651644,-0.244490,0.367181,0.011325,0.027172,0.027172,0.086714,0.002786,0.026595,-0.004822,0.125074,0.164555,0.219555,0.125074,0.027462,0,0,0,0,"speed_ok,valid_streak_not_ready"
112,16.351211,1,47,0.662898,-0.203850,0.368762,0.039455,0.091158,0.091158,0.175449,0.019222,0.089089,-0.001897,0.123592,0.151028,0.206028,0.123592,0.018852,1,1,1,0,valid_streak_not_ready
113,16.514776,1,48,0.653905,-0.208212,0.368833,0.046014,0.082807,0.082807,0.073762,0.015529,0.081272,0.003283,0.124606,0.156447,0.211447,0.124606,0.029885,2,1,1,1,
