frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,raw_window_speed_m_s,filtered_speed_m_s,raw_window_velocity_x_m_s,raw_window_velocity_y_m_s,raw_window_velocity_z_m_s,velocity_ema_alpha,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
40,7.208793,1,1,0.526281,-0.473150,0.361887,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.092263,0.100568,0.155568,0.092263,0.017936,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
41,7.389143,1,2,0.524174,-0.481330,0.366650,0.000000,0.037272,0.037272,0.058160,-0.008097,-0.031441,0.018306,0.057342,0.037272,-0.012457,-0.048371,0.028163,0.650,0.087706,0.119604,0.174604,0.087706,0.009972,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
42,7.568399,1,3,0.532870,-0.456062,0.367128,0.010035,0.027940,0.027940,0.085590,0.009457,0.021063,0.015734,0.053051,0.027940,0.018349,0.047589,0.014595,0.650,0.101836,0.111367,0.166367,0.101836,0.021302,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
43,7.757711,1,4,0.519972,-0.444737,0.367528,0.018818,0.048644,0.048644,0.070666,-0.000355,0.047238,0.011605,0.054365,0.048644,-0.011569,0.052102,0.010346,0.650,0.101118,0.133356,0.188356,0.101118,0.029132,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
44,7.937351,1,5,0.536184,-0.454687,0.365057,0.000000,0.046544,0.046544,0.037567,0.001874,0.045492,0.009658,0.028981,0.046544,0.013545,0.025251,0.004335,0.250,0.097380,0.116463,0.171463,0.097380,0.013165,0,0,0,0,"speed_ok,valid_streak_not_ready"
45,8.106209,1,6,0.542734,-0.443482,0.368954,0.011738,0.046079,0.046079,0.045551,0.014856,0.043412,0.004232,0.057788,0.046079,0.025406,0.051808,0.003154,0.650,0.106430,0.120831,0.175831,0.106430,0.018488,0,0,0,0,"speed_ok,valid_streak_not_ready"
46,8.286263,1,7,0.527850,-0.448000,0.365727,0.000000,0.037446,0.037446,0.053992,0.012971,0.035001,0.002973,0.013501,0.037446,-0.007060,0.011339,-0.001970,0.250,0.103129,0.117563,0.172563,0.103129,0.020779,0,0,0,0,"speed_ok,valid_streak_not_ready"
47,8.464946,1,8,0.522397,-0.439322,0.364387,0.000000,0.030207,0.030207,0.055167,0.009268,0.028715,0.001419,0.009433,0.030207,0.003407,0.007609,-0.004414,0.250,0.107092,0.122079,0.177079,0.107092,0.026914,0,0,0,0,"speed_ok,valid_streak_not_ready"
48,8.655547,1,9,0.530399,-0.442307,0.361549,0.000000,0.025673,0.025673,0.035560,0.002550,0.025540,-0.000586,0.019702,0.025673,-0.008079,0.017289,-0.004898,0.250,0.104239,0.123151,0.178151,0.104239,0.028222,0,0,0,0,"speed_ok,valid_streak_not_ready"
49,8.834985,1,10,0.535881,-0.436255,0.369894,0.000000,0.021942,0.021942,0.030101,0.000472,0.021924,-0.000750,0.013771,0.021942,-0.009434,0.009949,0.001295,0.250,0.105317,0.117575,0.172575,0.105317,0.023102,0,0,0,0,"speed_ok,valid_streak_not_ready"
50,9.012660,1,11,0.532885,-0.426769,0.367717,0.000000,0.025419,0.025419,0.065872,0.008551,0.023743,0.003051,0.029979,0.025419,0.006889,0.029049,0.002724,0.650,0.111416,0.130123,0.185123,0.111416,0.024928,0,0,0,0,"speed_ok,valid_streak_not_ready"
51,9.197188,1,12,0.554197,-0.429738,0.367787,0.011819,0.034319,0.034319,0.028644,0.026795,0.020670,0.005704,0.045844,0.034319,0.043665,0.013160,0.004669,0.650,0.110603,0.128945,0.183945,0.110603,0.012304,0,0,0,0,"speed_ok,valid_streak_not_ready"
52,9.372358,1,13,0.546175,-0.413860,0.373859,0.018653,0.042079,0.042079,0.046938,0.027513,0.030176,0.010153,0.048472,0.042079,0.021987,0.039646,0.017157,0.650,0.107276,0.126650,0.181650,0.107276,0.016039,0,0,0,0,"speed_ok,valid_streak_not_ready"
53,9.560614,1,14,0.548376,-0.420716,0.367624,0.000000,0.039496,0.039496,0.016511,0.025963,0.028712,0.007840,0.027880,0.039496,0.017360,0.021587,-0.003154,0.250,0.111152,0.134046,0.189046,0.111152,0.018963,0,0,0,0,"speed_ok,valid_streak_not_ready"
54,9.722239,1,15,0.541008,-0.405645,0.365802,0.011400,0.035932,0.035932,0.078916,0.021009,0.028656,0.005341,0.031820,0.035932,0.011380,0.029594,-0.002683,0.250,0.115770,0.138211,0.193211,0.115770,0.020159,0,0,0,0,"speed_ok,valid_streak_not_ready"
55,9.906110,1,16,0.542234,-0.419928,0.366594,0.000000,0.028044,0.028044,0.021412,0.011673,0.025372,0.002543,0.021776,0.028044,-0.016789,0.013767,-0.001675,0.250,0.114828,0.133157,0.188157,0.114828,0.018756,0,0,0,0,"speed_ok,valid_streak_not_ready"
