frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
5,0.725178,0,0,242,-0.413875,-0.805607,0.201477,0.194962,0.414437,0.278459,0.148284,
6,0.857100,0,0,1505,-0.416006,-0.698750,0.134241,0.414674,0.535896,0.470985,0.962640,
7,0.987404,0,0,937,-0.347571,-0.612356,0.440083,0.314248,0.482847,0.389894,0.633336,
8,1.129218,0,0,791,-0.378563,-0.499194,0.557686,0.279019,0.395755,0.418120,0.521615,
8,1.129218,1,0,93,-0.433668,-0.439737,0.224176,0.127542,0.188076,0.249986,0.125116,
9,1.270518,0,0,1133,-0.394013,-0.390041,0.466955,0.304172,0.342009,0.384343,0.676385,
9,1.270518,1,1,55,-0.401454,-0.030720,0.253870,0.078093,0.167194,0.066849,0.117942,
10,1.402531,0,0,186,-0.504537,-0.310433,0.283179,0.117773,0.245212,0.106827,0.216909,
10,1.402531,1,0,494,-0.415161,-0.270141,0.572249,0.300402,0.337430,0.375856,0.611039,
10,1.402531,2,1,42,-0.518679,0.049272,0.093509,0.070653,0.087257,0.139416,0.081440,
11,1.535136,0,1,38,-0.420106,-0.028689,0.278445,0.060052,0.077363,0.054196,0.111450,
11,1.535136,1,0,73,-0.373703,-0.046410,0.645519,0.107931,0.225067,0.100105,0.106462,
11,1.535136,2,1,38,-0.524417,0.002576,0.056708,0.071820,0.108373,0.120290,0.081433,0.439941
12,1.668120,0,1,49,-0.429446,0.065817,0.216036,0.065815,0.098004,0.081486,0.106911,0.859135
12,1.668120,1,1,37,-0.446048,0.122485,0.642693,0.073050,0.089681,0.085768,0.135669,
13,1.797892,0,0,91,-0.373132,0.225940,0.670469,0.103948,0.143749,0.092051,0.228501,
14,1.932636,0,0,78,-0.315149,0.295073,0.685585,0.114166,0.157268,0.102727,0.232633,0.703302
15,2.067000,0,1,61,-0.269729,0.539615,0.228337,0.073583,0.080694,0.161834,0.116792,
16,2.196548,0,1,35,-0.024646,0.589433,0.354139,0.064082,0.111371,0.085739,0.122116,
16,2.196548,1,0,123,-0.163822,0.527607,0.343398,0.136836,0.255743,0.113912,0.274953,
17,2.329934,0,0,228,-0.027609,0.602982,0.334383,0.169172,0.349156,0.143471,0.292127,0.183737
17,2.329934,1,0,116,-0.075650,0.546352,0.675227,0.128483,0.118943,0.100285,0.268213,
18,2.469698,0,0,139,-0.047231,0.562284,0.623471,0.149310,0.206868,0.083919,0.332554,0.457983
18,2.469698,1,0,201,0.065848,0.629193,0.327599,0.148025,0.319389,0.107930,0.243320,0.728646
19,2.597509,0,0,144,0.164231,0.644438,0.336009,0.108827,0.240606,0.107723,0.198528,0.746306
20,2.725799,0,0,180,0.228781,0.632061,0.328837,0.130627,0.271828,0.118494,0.250467,0.510268
20,2.725799,1,0,95,0.271334,0.680374,0.120270,0.115130,0.151279,0.215684,0.139421,
21,2.859263,0,0,137,0.319261,0.715183,0.119379,0.111489,0.198849,0.201353,0.195180,0.452997
21,2.859263,1,0,295,0.301226,0.663472,0.440792,0.212729,0.285544,0.212081,0.434421,
22,2.984635,0,0,417,0.341705,0.679557,0.452225,0.231577,0.287316,0.251902,0.482895,0.349499
22,2.984635,1,0,138,0.351907,0.713128,0.126146,0.103634,0.180029,0.180281,0.189279,0.259243
23,3.121359,0,1,82,0.346735,0.699554,0.111321,0.097956,0.195331,0.065069,0.151687,0.153232
23,3.121359,1,0,247,0.351667,0.699136,0.493752,0.201789,0.171659,0.178035,0.455107,0.346841
23,3.121359,2,1,37,0.500118,0.607675,0.320207,0.067931,0.116706,0.098045,0.090327,
24,3.256169,0,1,61,0.421877,0.751228,0.323625,0.074771,0.089477,0.118329,0.134213,
24,3.256169,1,1,43,0.509515,0.621921,0.350125,0.070561,0.111715,0.108526,0.101325,0.252076
25,3.390679,0,0,286,0.482604,0.648757,0.406999,0.261362,0.408044,0.293906,0.431071,0.509473
26,3.520356,0,0,326,0.497291,0.644482,0.406256,0.253156,0.407534,0.303460,0.403436,0.115443
27,3.649444,0,0,304,0.521059,0.628967,0.393250,0.247452,0.395508,0.326959,0.398688,0.240428
28,3.783139,0,0,200,0.532093,0.616029,0.416329,0.227647,0.381504,0.191557,0.376102,0.221245
29,3.916088,0,0,212,0.655346,-0.564654,0.378069,0.136380,0.149679,0.149091,0.262451,
29,3.916088,1,0,195,0.528554,0.621056,0.422302,0.205890,0.317624,0.194117,0.348724,0.063981
30,4.067522,0,0,196,0.663444,-0.566296,0.369281,0.143775,0.117477,0.177922,0.261233,0.090066
30,4.067522,1,0,83,0.494137,0.641122,0.473867,0.131860,0.185054,0.077045,0.258298,0.486548
31,4.180617,0,0,200,0.658444,-0.552101,0.381057,0.132862,0.129325,0.187530,0.253986,0.145215
31,4.180617,1,1,50,0.369737,0.754634,0.153630,0.075097,0.140275,0.092466,0.102818,
31,4.180617,2,0,75,0.543387,0.617537,0.436327,0.115992,0.172783,0.095036,0.222303,0.503573
32,4.309491,0,0,230,0.657023,-0.552539,0.391253,0.131061,0.122796,0.214487,0.242121,0.079612
