t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz
0.001500,0.86983252,-0.42900157,1.02396309,-0.11781706,1.57078898,0.86985451,0.00000000,0.00000000,0.00000000,0.00066210,0.00000000,0.00000000,0.58750147,0.39999743,0.53950174,3.14157774,-0.00000642,1.57077436
0.007043,0.86983252,-0.42900157,1.02396309,-0.11781339,1.57078898,0.86985451,-0.00000000,-0.00003142,-0.00000000,0.00057326,-0.00000000,-0.00000000,0.58750147,0.39999743,0.53950174,3.14157774,-0.00000642,1.57077436
0.048353,0.86983252,-0.42901254,1.02396309,-0.11781706,1.57078898,0.86985451,0.00000000,-0.00008910,0.00000000,-0.00004448,0.00000000,0.00000000,0.58750414,0.40000058,0.53949423,3.14158466,0.00000196,1.57077436
0.089782,0.86983252,-0.42900890,1.02396309,-0.11781706,1.57078898,0.86985451,-0.00004466,0.00013240,0.00013240,0.00004430,0.00000000,-0.00000000,0.58750325,0.39999954,0.53949672,3.14158227,-0.00000082,1.57077436
0.131209,0.86982882,-0.42900157,1.02397406,-0.11781339,1.57078898,0.86985451,-0.00030912,0.00061788,0.00110303,0.00022074,-0.00000000,-0.00035267,0.58750277,0.39999504,0.53949685,3.14158227,-0.00000084,1.57077063
0.172740,0.86980683,-0.42895755,1.02405477,-0.11779872,1.57078898,0.86982518,-0.00119382,0.00199040,0.00411260,0.00070755,-0.00000000,-0.00110582,0.58749874,0.39996691,0.53948957,-3.14158866,0.00001598,1.57077808
0.214207,0.86972982,-0.42883649,1.02431512,-0.11775471,1.57078898,0.86976278,-0.00309653,0.00411390,0.00840371,0.00154813,0.00000000,-0.00207859,0.58749299,0.39987838,0.53945136,-3.14152741,0.00008879,1.57076330
0.255669,0.86955005,-0.42861640,1.02475166,-0.11767034,1.57078898,0.86965281,-0.00568567,0.00750900,0.01368050,0.00302220,-0.00000000,-0.00386616,0.58750012,0.39969608,0.53940023,-3.14144218,0.00018972,1.57069366
0.296896,0.86926031,-0.42821661,1.02544487,-0.11750527,1.57078898,0.86944366,-0.00757774,0.01125112,0.01750836,0.00623647,0.00000000,-0.00655205,0.58750286,0.39939206,0.53935706,-3.14135936,0.00028773,1.57061310
0.338400,0.86892283,-0.42768472,1.02620053,-0.11715315,1.57078898,0.86910993,-0.00901222,0.01444609,0.01988088,0.00901213,0.00000000,-0.01152885,0.58750246,0.39903391,0.53939585,-3.14144218,0.00018963,1.57060924
