frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
56,9.028570,0,1,0,320,0.619662,-0.526428,0.356350,0.151840,0.212120,0.312900,0.229099,0.132712
57,9.197849,0,1,0,257,0.624472,-0.484986,0.364138,0.130761,0.173928,0.243350,0.211103,0.246531
58,9.359912,0,1,0,281,0.623007,-0.469697,0.364497,0.133736,0.169770,0.243898,0.207216,0.094340
59,9.515139,0,1,0,244,0.625712,-0.459694,0.376509,0.129841,0.167536,0.222619,0.203690,0.099595
60,9.672975,0,1,0,264,0.623954,-0.442022,0.370282,0.126876,0.164753,0.217963,0.207864,0.119944
61,9.846599,0,1,0,261,0.624747,-0.432699,0.366395,0.133373,0.177755,0.231224,0.210569,0.062558
62,9.997297,0,1,0,261,0.624338,-0.416277,0.379652,0.127636,0.170141,0.211346,0.201530,0.131233
63,10.158332,0,1,0,268,0.624982,-0.411177,0.374010,0.128290,0.154687,0.214941,0.217191,0.047584
64,10.320688,0,1,0,286,0.625169,-0.406558,0.372588,0.130436,0.163618,0.235460,0.217558,0.029495
65,10.492698,0,1,0,282,0.625962,-0.409363,0.368252,0.131117,0.155728,0.255393,0.220499,0.031968
66,10.662943,0,1,0,265,0.618394,-0.402937,0.369636,0.129690,0.176338,0.235840,0.212681,0.058684
67,10.814860,0,1,0,252,0.624102,-0.396071,0.374521,0.130875,0.149674,0.239195,0.204543,0.063610
68,10.968467,0,1,0,258,0.623881,-0.375771,0.370975,0.127741,0.144441,0.213276,0.215108,0.135170
69,11.118845,0,1,0,251,0.622424,-0.359049,0.377652,0.128481,0.179451,0.225096,0.209961,0.118323
70,11.281547,0,1,0,270,0.618817,-0.348050,0.370657,0.129232,0.172164,0.229751,0.199747,0.084216
71,11.449184,0,1,0,283,0.619792,-0.324217,0.376363,0.130573,0.152473,0.215423,0.211399,0.144437
72,11.609284,0,1,0,261,0.623679,-0.318655,0.376640,0.133153,0.156384,0.224029,0.203705,0.042929
73,11.765960,0,1,0,265,0.620008,-0.312175,0.371465,0.131664,0.155394,0.226718,0.210511,0.057632
74,11.925390,0,1,0,274,0.618831,-0.292238,0.373512,0.128601,0.161846,0.218168,0.208565,0.126418
75,12.091808,0,1,0,275,0.623279,-0.277232,0.365519,0.134780,0.173454,0.253790,0.216685,0.109900
76,12.250461,0,1,0,269,0.619049,-0.278263,0.375366,0.136249,0.216947,0.233592,0.205614,0.064667
77,12.415902,0,1,0,299,0.626609,-0.258016,0.377793,0.128554,0.178142,0.214421,0.206289,0.133340
78,12.599929,0,1,0,283,0.623012,-0.246331,0.376383,0.133189,0.194496,0.214709,0.222499,0.068264
79,12.758341,0,1,0,257,0.625428,-0.233510,0.376662,0.130027,0.172949,0.223666,0.205418,0.079864
80,12.918100,0,1,0,221,0.629032,-0.223552,0.371359,0.128456,0.156477,0.216046,0.211903,0.074255
81,13.074143,0,1,0,243,0.629735,-0.209832,0.371083,0.130138,0.146646,0.227933,0.213952,0.088480
82,13.228272,0,1,0,227,0.635006,-0.199830,0.372841,0.123369,0.144239,0.218180,0.200623,0.073318
