frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.540956,1786591525.465885,2750,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.5529,0.00000000,-0.19727390,1.34494853,-0.02393388,1.57079637,0.00000000,0.00000000,-0.12980105,-0.12988430,-0.01892345,0.00000000,0.00000000
11,1.674581,1786591525.598458,2916,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,126.6888,0.00000000,-0.20699783,1.33526492,-0.02633644,1.57079637,0.00000000,0.00000000,-0.07277048,-0.07246872,-0.01797991,0.00000000,0.00000000
12,1.802735,1786591525.725169,2814,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.3748,0.00000000,-0.20991024,1.33234513,-0.02829517,1.57079637,0.00000000,0.00000000,-0.02272584,-0.02278339,-0.01528412,0.00000000,0.00000000
13,1.927513,1786591525.854558,2723,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.5759,0.00000000,-0.21020369,1.33208466,-0.02857394,1.57079637,0.00000000,0.00000000,-0.00235176,-0.00208749,-0.00223412,0.00000000,0.00000000
14,2.063860,1786591525.984149,2531,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590995,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,137.7947,0.00000367,-0.21022569,1.33204079,-0.02858861,1.57079637,0.00000000,0.00002690,-0.00016131,-0.00032175,-0.00010761,0.00000000,0.00000000
15,2.195797,1786591526.121969,2595,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590197,0.868593,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.0793,0.00136084,-0.21165989,1.33053684,-0.03003015,1.57079637,0.00126180,0.01028650,-0.01087039,-0.01139895,-0.01092594,0.00000000,0.00956366
16,2.327922,1786591526.252072,2606,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.586397,0.862053,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.9626,0.00777989,-0.21767180,1.32419109,-0.03357713,1.57079637,0.00786425,0.04858311,-0.04550159,-0.04802833,-0.02684564,0.00000000,0.04997120
17,2.457656,1786591526.383061,2665,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.578306,0.848565,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.3422,0.02126723,-0.22715731,1.31212330,-0.03749458,1.57079637,0.02141395,0.10396178,-0.07311530,-0.09301979,-0.03019612,0.00000000,0.10444243
18,2.588344,1786591526.514428,2642,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.565114,0.827885,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.8807,0.04194757,-0.23724440,1.29771161,-0.04144872,1.57079637,0.04206495,0.15824206,-0.07718449,-0.11027551,-0.03025629,0.00000000,0.15801753
19,2.719953,1786591526.644324,2647,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.547583,0.798739,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.9468,0.07109372,-0.24772027,1.28251123,-0.04546521,1.57079637,0.07128078,0.22145944,-0.07959820,-0.11549611,-0.03051827,0.00000000,0.22198895
20,2.851442,1786591526.775286,2784,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.525152,0.763298,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.8825,0.10653421,-0.25778902,1.26786125,-0.04938633,1.57079637,0.10685699,0.26953255,-0.07657497,-0.11141630,-0.02982097,0.00000000,0.27056473
21,2.978142,1786591526.906185,2685,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.498782,0.722378,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.0294,0.14745472,-0.26749462,1.25383830,-0.05308370,1.57080007,0.14792423,0.32297139,-0.07660294,-0.11067823,-0.02918205,0.00002917,0.32412938
22,3.111920,1786591527.034229,2713,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.464975,0.670820,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.0257,0.19901253,-0.27795950,1.23857939,-0.05712220,1.57080007,0.19962142,0.38539813,-0.07822567,-0.11406138,-0.03018807,0.00000000,0.38644005
23,3.249314,1786591527.167297,2382,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.425404,0.611479,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.8111,0.25835389,-0.28879851,1.22283244,-0.06137345,1.57080364,0.25912783,0.43190691,-0.07889010,-0.11461176,-0.03094203,0.00002603,0.43310817
24,3.370889,1786591527.297126,2434,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.390091,0.559297,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.3029,0.31053528,-0.29811165,1.20931220,-0.06488008,1.57080734,0.31149992,0.42920984,-0.07660374,-0.11120861,-0.02884327,0.00003040,0.43077845
25,3.507146,1786591527.426441,2638,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.349777,0.500392,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.2501,0.36944014,-0.30858752,1.19411194,-0.06893692,1.57080734,0.37040848,0.43230716,-0.07688322,-0.11155583,-0.02977346,0.00000000,0.43233428
26,3.629545,1786591527.555707,2630,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.312155,0.445863,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7644,0.42396903,-0.31826746,1.18000102,-0.07271866,1.57081103,0.42482734,0.44550345,-0.07908556,-0.11528686,-0.03089695,0.00003019,0.44460449
27,3.777136,1786591527.685488,2628,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.268303,0.382594,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.9011,0.48723882,-0.32950631,1.16367090,-0.07702125,1.57081103,0.48820719,0.42868086,-0.07614814,-0.11064381,-0.02915196,0.00000000,0.42942657
28,3.902458,1786591527.818403,2878,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.230482,0.330236,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.2567,0.53959626,-0.33881941,1.15015793,-0.08068195,1.57081473,0.54054260,0.41778638,-0.07431397,-0.10782680,-0.02921058,0.00002949,0.41761064
29,4.025489,1786591527.949676,2892,50000,3,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.192757,0.273503,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.2314,0.59632963,-0.34889546,1.13554800,-0.08452604,1.57081831,0.59717333,0.46112742,-0.08189785,-0.11874917,-0.03124467,0.00002907,0.46029317
30,4.155692,1786591528.079941,2917,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.154144,0.217342,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.6006,0.65249085,-0.35898256,1.12089074,-0.08838481,1.57082200,0.65316576,0.43133852,-0.07747260,-0.11257305,-0.02963673,0.00002838,0.43004207
31,4.296945,1786591528.210567,3147,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.115581,0.162857,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.8296,0.70697570,-0.36945111,1.10569763,-0.09254068,1.57082200,0.70752960,0.38572330,-0.07411163,-0.10755899,-0.02942135,0.00000000,0.38486671
32,4.419351,1786591528.344421,3248,50000,2,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.085682,0.117333,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7930,0.75249958,-0.37953821,1.09104764,-0.09631874,1.57082558,0.75296181,0.37191022,-0.08240722,-0.11968399,-0.03086512,0.00002922,0.37116130
