t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
0.00000000,0.59350896,-0.19378926,1.35270274,-0.02430435,1.57079256,0.59350526
0.04161000,0.59234989,-0.19329774,1.35330796,-0.02417964,1.57079256,0.59236455
0.08318700,0.59104770,-0.19276221,1.35399389,-0.02403659,1.57079256,0.59108806
0.12503500,0.58990330,-0.19230370,1.35462475,-0.02391187,1.57079256,0.58994001
0.16632300,0.58876252,-0.19183786,1.35523367,-0.02379450,1.57079256,0.58877718
0.20786900,0.58747500,-0.19129133,1.35587549,-0.02365878,1.57079256,0.58748603
0.24918600,0.58631963,-0.19078515,1.35645509,-0.02354140,1.57079256,0.58633429
0.29091500,0.58514947,-0.19030464,1.35707140,-0.02342403,1.57079256,0.58518982
0.33352000,0.58384365,-0.18979111,1.35771322,-0.02329198,1.57079256,0.58389133
0.37541100,0.58270657,-0.18932527,1.35825610,-0.02317460,1.57079256,0.58273596
0.41689800,0.58156222,-0.18884476,1.35881734,-0.02305722,1.57079256,0.58157319
0.45840700,0.58026004,-0.18832022,1.35950685,-0.02292884,1.57079256,0.58028567
0.50044300,0.57908261,-0.18786173,1.36013770,-0.02281880,1.57079256,0.57912660
0.54207900,0.57791978,-0.18741056,1.36071372,-0.02270143,1.57079256,0.57794917
0.58381300,0.57661396,-0.18690804,1.36131525,-0.02257304,1.57079256,0.57662129
0.62568800,0.57546222,-0.18646054,1.36188018,-0.02246301,1.57079256,0.57543653
0.66758400,0.57429951,-0.18599837,1.36247063,-0.02236030,1.57079256,0.57428479
0.70925000,0.57296801,-0.18548118,1.36306489,-0.02223559,1.57079256,0.57297534
0.75091600,0.57179052,-0.18503734,1.36357474,-0.02212188,1.57079256,0.57181257
0.79257300,0.57048839,-0.18455316,1.36415792,-0.02200817,1.57079256,0.57047743
0.83379000,0.56932932,-0.18409833,1.36471915,-0.02190180,1.57079256,0.56928897
0.87534400,0.56815916,-0.18364350,1.36532438,-0.02179909,1.57079256,0.56813353
0.91672600,0.56697440,-0.18320332,1.36589301,-0.02169639,1.57079256,0.56698173
0.95887100,0.56564665,-0.18271181,1.36649084,-0.02157901,1.57079256,0.56566125
1.00087300,0.56447649,-0.18228999,1.36704111,-0.02147630,1.57079256,0.56446552
1.04227100,0.56331378,-0.18186817,1.36758399,-0.02137727,1.57079256,0.56328809
1.08366300,0.56199324,-0.18139133,1.36814511,-0.02126723,1.57079256,0.56198591
1.12522300,0.56079745,-0.18095116,1.36863661,-0.02116452,1.57079256,0.56081212
1.16657400,0.55960536,-0.18051098,1.36913180,-0.02106915,1.57079256,0.55963838
1.20848500,0.55828488,-0.18003781,1.36970770,-0.02095911,1.57079256,0.55829585
1.24940000,0.55710745,-0.17964534,1.37025416,-0.02086741,1.57079256,0.55711848
1.29081500,0.55592632,-0.17923820,1.37077880,-0.02077571,1.57079256,0.55594099
1.33214000,0.55473053,-0.17881270,1.37128127,-0.02067301,1.57079256,0.55475622
1.37391900,0.55337703,-0.17833219,1.37187922,-0.02056663,1.57079256,0.55341738
1.41558700,0.55219591,-0.17790671,1.37244034,-0.02047493,1.57079256,0.55222893
1.45736300,0.55101484,-0.17751056,1.37295389,-0.02038690,1.57079256,0.55103320
1.49883700,0.54969072,-0.17705938,1.37347472,-0.02028419,1.57079256,0.54969800
1.54014700,0.54848391,-0.17667058,1.37391496,-0.02019249,1.57079256,0.54851693
1.58102600,0.54727346,-0.17626709,1.37437713,-0.02010446,1.57079256,0.54732484
1.62242200,0.54608136,-0.17586361,1.37487960,-0.02001276,1.57079256,0.54611433
1.66399400,0.54474986,-0.17540143,1.37545919,-0.01991373,1.57079256,0.54474616
1.70573400,0.54355776,-0.17500162,1.37595069,-0.01982569,1.57079256,0.54354674
1.74723300,0.54234362,-0.17462014,1.37641287,-0.01973399,1.57079256,0.54236561
1.78894000,0.54097176,-0.17419831,1.37694108,-0.01963495,1.57079256,0.54099745
1.83040900,0.53977966,-0.17381318,1.37744725,-0.01955426,1.57079256,0.53977966
1.87230100,0.53858757,-0.17343903,1.37795341,-0.01946989,1.57079256,0.53856188
1.91382600,0.53724140,-0.17300254,1.37847805,-0.01937086,1.57079256,0.53720838
1.95533300,0.53602362,-0.17261374,1.37892544,-0.01929016,1.57079256,0.53601629
1.99675200,0.53480583,-0.17224693,1.37935460,-0.01920213,1.57079256,0.53482050
2.03812200,0.53345233,-0.17183611,1.37985337,-0.01910676,1.57079256,0.53345966
2.07981800,0.53226018,-0.17145830,1.38030827,-0.01902239,1.57079256,0.53224552
2.12135900,0.53105342,-0.17108783,1.38079238,-0.01894536,1.57079256,0.53104240
2.16283400,0.52967423,-0.17066967,1.38130605,-0.01885733,1.57079256,0.52968162
2.20479400,0.52845281,-0.17028454,1.38172054,-0.01876930,1.57079256,0.52847850
2.24703800,0.52723867,-0.16991405,1.38215709,-0.01868860,1.57079256,0.52725703
2.28841400,0.52588153,-0.16951425,1.38266695,-0.01860424,1.57079256,0.52588516
2.32975000,0.52466375,-0.16918045,1.38310337,-0.01853088,1.57079256,0.52467471
2.37101200,0.52343124,-0.16882466,1.38352883,-0.01844651,1.57079256,0.52345693
2.41259100,0.52204841,-0.16842116,1.38400936,-0.01836215,1.57079256,0.52209610
2.45420400,0.52083796,-0.16806905,1.38443482,-0.01828512,1.57079256,0.52087098
2.49556400,0.51963121,-0.16771692,1.38486397,-0.01821176,1.57079256,0.51964217
2.53687400,0.51840973,-0.16738680,1.38529313,-0.01813473,1.57079256,0.51843172
2.57792000,0.51701587,-0.16700532,1.38578844,-0.01805403,1.57079637,0.51706356
2.61940200,0.51578343,-0.16667520,1.38619542,-0.01798067,1.57079256,0.51582009
2.66099200,0.51455832,-0.16634141,1.38658428,-0.01789998,1.57079637,0.51456565
2.70233400,0.51334423,-0.16600396,1.38697684,-0.01783028,1.57079637,0.51332951
2.74422300,0.51196134,-0.16561881,1.38743532,-0.01774959,1.57079637,0.51196504
2.78589100,0.51071054,-0.16527401,1.38785708,-0.01767256,1.57079637,0.51072520
2.82747900,0.50946343,-0.16492555,1.38826787,-0.01760287,1.57079637,0.50948542
2.86938900,0.50809157,-0.16455507,1.38868976,-0.01752217,1.57079637,0.50808424
2.91161100,0.50687379,-0.16423963,1.38905644,-0.01745614,1.57079637,0.50683713
2.95348500,0.50547993,-0.16389483,1.38947105,-0.01737912,1.57079637,0.50546157
2.99512300,0.50422180,-0.16358304,1.38984883,-0.01730576,1.57079637,0.50422549
3.03689000,0.50298566,-0.16325659,1.39025235,-0.01723973,1.57079637,0.50299305
3.07812800,0.50160283,-0.16290079,1.39072549,-0.01716637,1.57079637,0.50157714
3.11959000,0.50037402,-0.16258167,1.39113629,-0.01710035,1.57079637,0.50034100
3.16118600,0.49911955,-0.16227722,1.39150667,-0.01703432,1.57079637,0.49911225
3.20259900,0.49786511,-0.16197646,1.39185894,-0.01697197,1.57079637,0.49789077
3.24383200,0.49646392,-0.16164632,1.39224780,-0.01689860,1.57079637,0.49648958
3.28501400,0.49522778,-0.16135289,1.39261091,-0.01683625,1.57079637,0.49523148
3.32581200,0.49398431,-0.16106310,1.39298868,-0.01677389,1.57079637,0.49399167
3.36698300,0.49273354,-0.16076599,1.39336276,-0.01670787,1.57079637,0.49275920
3.40905800,0.49130669,-0.16043220,1.39375901,-0.01663817,1.57079637,0.49135068
3.45051100,0.49005955,-0.16012043,1.39408171,-0.01658315,1.57079637,0.49009255
3.49198000,0.48881975,-0.15981965,1.39441180,-0.01652447,1.57079637,0.48883078
3.53318200,0.48742589,-0.15948953,1.39477491,-0.01645477,1.57079637,0.48744422
3.57474700,0.48615676,-0.15920708,1.39511251,-0.01639608,1.57079637,0.48619345
3.61613300,0.48488763,-0.15893200,1.39545000,-0.01633373,1.57079637,0.48493531
3.65784800,0.48347911,-0.15862754,1.39586806,-0.01627504,1.57079637,0.48350114
