condition,frame,host_read_start_s,camera_timestamp_s,host_receive_timestamp_s,state_host_timestamp_s,frame_valid,error_message,raw_points,cropped_points,downsampled_points,scene_points_after_self_filter,robot_surface_points,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,preprocess_ms,state_fk_ms,self_filter_ms,end_to_end_ms,risk_state,hold
start,16,1785915487.643134,1785915487.602306,1785915487.661199,1785915487.720579,1,,866864,37434,3432,2611,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.8129,1.0985,11.2219,89.1650,SAFE,0
start,17,1785915487.732363,1785915487.702164,1785915487.750299,1785915487.806951,1,,864676,36871,3422,2566,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,25.8341,1.1451,10.9055,85.9506,SAFE,0
start,18,1785915487.818374,1785915487.768732,1785915487.836485,1785915487.900066,1,,868011,37075,3437,2600,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.2646,0.8594,11.0624,93.2404,SAFE,0
start,19,1785915487.911675,1785915487.868577,1785915487.929667,1785915487.992338,1,,864150,36822,3355,2517,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.4809,0.8458,11.0019,92.1380,SAFE,0
start,20,1785915488.003872,1785915487.968457,1785915488.021912,1785915488.081642,1,,866467,37086,3442,2558,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.7494,1.1501,10.4260,88.6606,SAFE,0
start,21,1785915488.092607,1785915488.035095,1785915488.110775,1785915488.169779,1,,864106,37394,3486,2624,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.9179,0.8257,11.1610,88.7903,SAFE,0
start,22,1785915488.181458,1785915488.135049,1785915488.199610,1785915488.256169,1,,864756,37086,3485,2629,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.2738,1.0943,11.4423,86.6147,SAFE,0
start,23,1785915488.268143,1785915488.234997,1785915488.285746,1785915488.343286,1,,865591,37213,3474,2606,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.0298,1.1106,11.1502,86.7700,SAFE,0
start,24,1785915488.354974,1785915488.301627,1785915488.373453,1785915488.431769,1,,864133,36883,3417,2562,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.7037,1.1316,10.3498,87.6259,SAFE,0
start,25,1785915488.442671,1785915488.401568,1785915488.460802,1785915488.521086,1,,863039,36490,3315,2484,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.4276,1.1116,11.0767,89.9559,SAFE,0
start,26,1785915488.532688,1785915488.501504,1785915488.550931,1785915488.609428,1,,862161,36947,3425,2561,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.3729,1.1848,11.2861,88.5082,SAFE,0
start,27,1785915488.621256,1785915488.568126,1785915488.639182,1785915488.698171,1,,863059,36947,3422,2586,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.1950,1.1595,11.1501,88.5552,SAFE,0
start,28,1785915488.709883,1785915488.668055,1785915488.728420,1785915488.787313,1,,863275,36929,3493,2608,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.1449,1.1462,11.5966,89.4913,SAFE,0
start,29,1785915488.799436,1785915488.767979,1785915488.818412,1785915488.875776,1,,865257,36974,3471,2583,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,25.9790,1.1370,11.1828,88.0002,SAFE,0
start,30,1785915488.887498,1785915488.834592,1785915488.904803,1785915488.963837,1,,865259,37033,3346,2503,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.8158,1.0765,10.3828,87.1855,SAFE,0
start,31,1785915488.974746,1785915488.934510,1785915488.992612,1785915489.050202,1,,866180,36729,3389,2553,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.1750,0.8279,11.1094,87.0372,SAFE,0
start,32,1785915489.061844,1785915489.001387,1785915489.079820,1785915489.139532,1,,863543,37143,3467,2589,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.9970,0.8414,10.4120,88.5695,SAFE,0
start,33,1785915489.150475,1785915489.101708,1785915489.168377,1785915489.225872,1,,864772,37111,3446,2558,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.2325,1.0792,10.4817,86.3420,SAFE,0
start,34,1785915489.236889,1785915489.202035,1785915489.254906,1785915489.313012,1,,864598,36777,3461,2588,50000,-0.09148429,-0.04078114,1.52892947,-0.00107840,1.57079637,-0.09148429,26.4979,0.8343,10.5205,87.1081,SAFE,0
start,35,1785915489.324059,1785915489.268924,1785915489.340901,1785915489.398144,1,,863727,36692,3333,2478,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.6750,1.1295,10.6286,85.2087,SAFE,0
start,36,1785915489.409331,1785915489.369261,1785915489.427433,1785915489.485394,1,,862223,36636,3461,2572,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57080007,-0.09148429,27.8157,1.0729,10.6137,87.1448,SAFE,0
start,37,1785915489.496536,1785915489.436155,1785915489.513488,1785915489.569448,1,,863461,36977,3452,2584,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.1917,0.8841,10.3643,83.7863,SAFE,0
start,38,1785915489.580406,1785915489.536502,1785915489.596918,1785915489.654308,1,,864127,36962,3365,2524,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.9241,1.0906,10.2074,84.5824,SAFE,0
start,39,1785915489.665069,1785915489.603403,1785915489.682275,1785915489.742405,1,,863669,37126,3455,2608,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,29.3640,1.1255,10.4625,88.2697,SAFE,0
start,40,1785915489.753398,1785915489.703760,1785915489.771502,1785915489.829377,1,,863465,37055,3364,2538,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.9176,1.0717,10.4565,86.9136,SAFE,0
start,41,1785915489.840377,1785915489.804123,1785915489.858418,1785915489.916234,1,,864015,36950,3434,2598,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.0983,1.1186,10.4755,86.7978,SAFE,0
