frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
10,1.488310,1786609581.120217,2532,50000,1,1,0,0.283413,upperArm_Link,0,0.703331,-0.122609,0.387276,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.022320,0.000575,0.021310,-0.006612,0.126024,10,0.020057,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,132.6935,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
11,1.617744,1786609581.252925,2487,50000,1,1,0,0.293568,upperArm_Link,0,0.704259,-0.121475,0.379999,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.020357,-0.013270,-0.011054,-0.010776,0.128981,11,0.030740,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,132.4668,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
12,1.752014,1786609581.385404,2716,50000,1,1,0,0.288806,upperArm_Link,0,0.703269,-0.122399,0.390846,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.022586,0.012291,-0.006441,0.017821,0.121239,12,0.022708,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,140.6043,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
13,1.911489,1786609581.526023,2592,50000,1,1,0,0.295147,upperArm_Link,0,0.703036,-0.119462,0.387136,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.008447,0.000862,-0.000284,-0.008398,0.124478,13,0.032345,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,154.2635,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
14,2.043919,1786609581.680300,2581,50000,1,1,0,0.284745,upperArm_Link,0,0.704195,-0.122181,0.394623,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.018871,0.006075,-0.016010,-0.007930,0.118292,14,0.029136,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,135.9419,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
15,2.178498,1786609581.816256,2570,50000,1,1,0,0.291065,upperArm_Link,0,0.704081,-0.120836,0.390745,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.015165,0.009045,-0.002889,0.011824,0.123179,15,0.030425,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,128.4678,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
16,2.308611,1786609581.944746,2576,50000,1,1,0,0.293757,upperArm_Link,0,0.705078,-0.123807,0.386392,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.004586,-0.001595,0.003240,-0.002826,0.120178,16,0.021844,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,140.9698,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
17,2.454543,1786609582.085747,2611,50000,1,1,0,0.305203,upperArm_Link,0,0.708750,-0.122860,0.383693,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.023353,0.015060,0.003896,0.017418,0.121012,17,0.020201,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,141.3283,0.86983252,-0.42899790,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,-0.00002532,0.00000000,0.00000000,0.00000000,0.00000000
18,2.589603,1786609582.227088,2567,50000,1,1,0,0.298313,upperArm_Link,0,0.705357,-0.121539,0.386634,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.009224,-0.008581,-0.003256,-0.000923,0.122270,18,0.026984,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,132.6237,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00002736,0.00000000,0.00000000,0.00000000,0.00000000
19,2.722991,1786609582.359726,2533,50000,1,1,0,0.295136,upperArm_Link,0,0.704048,-0.121273,0.382145,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.022455,-0.020535,0.008091,-0.004135,0.126255,19,0.033774,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,144.1585,0.86983252,-0.42899790,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,-0.00002770,0.00000000,0.00000000,0.00000000,0.00000000
20,2.868253,1786609582.503899,2517,50000,1,1,0,0.291432,upperArm_Link,0,0.704683,-0.118907,0.380084,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.015578,-0.006597,-0.001671,-0.014013,0.121612,20,0.027420,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,126.2706,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00002544,0.00000000,0.00000000,0.00000000,0.00000000
21,2.994130,1786609582.630184,2569,50000,1,1,0,0.280037,upperArm_Link,0,0.704960,-0.125548,0.377791,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.022699,-0.018898,0.007321,-0.010224,0.128556,21,0.024300,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,137.2118,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
22,3.131517,1786609582.767409,2526,50000,1,1,0,0.290890,upperArm_Link,0,0.702720,-0.120124,0.388474,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.004891,-0.003319,0.003353,0.001291,0.124298,22,0.027116,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,140.1497,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
23,3.271415,1786609582.907582,2449,50000,1,1,0,0.293133,upperArm_Link,0,0.703324,-0.122808,0.380750,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.026183,0.023815,-0.001250,-0.010810,0.126778,23,0.025496,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,135.9505,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
24,3.406209,1786609583.043546,2555,50000,1,1,0,0.284710,upperArm_Link,0,0.705027,-0.120523,0.390612,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.021196,0.016878,0.006442,0.011087,0.121314,24,0.022330,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,132.5483,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
25,3.540531,1786609583.176107,2533,50000,1,1,0,0.290980,upperArm_Link,0,0.702548,-0.118027,0.380189,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.009971,-0.000062,0.004782,-0.008750,0.130011,25,0.026617,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,140.2575,0.86983252,-0.42899790,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,-0.00002751,0.00000000,0.00000000,0.00000000,0.00000000
